Index, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08, Ch09, Ch10
134,22097.921875,18738.84375,35759.66796875,32783.60546875,50660.26171875,15594.2216796875,27229.384765625,23236.396484375,0,0
135,22118.380859375,18813.82421875,35788.75,32794.38671875,50726.89453125,15732.123046875,27193.193359375,23137.740234375,0,0
136,22167.708984375,18850.208984375,35850.21875,32750.87109375,50782.35546875,15904.59375,27149.490234375,23033.21484375,0,0
137,22170.380859375,18788.48046875,35858.7734375,32709.171875,50751.73828125,15881.6123046875,27158.240234375,23067.35546875,0,0
138,22134.615234375,18727.99609375,35805.94921875,32737.806640625,50677.83203125,15693.7861328125,27209.212890625,23186.759765625,0,0
139,22100.35546875,18737.9375,35759.0234375,32785.39453125,50661.6875,15594.1015625,27228.80859375,23241.259765625,0,0
140,22118.90234375,18808.65234375,35786.4609375,32787.2734375,50718.5,15723.2060546875,27182.84375,23136.619140625,0,0
141,22162.65234375,18845.390625,35849.09375,32744.505859375,50772.57421875,15896.107421875,27133.443359375,23032.140625,0,0
142,22165.396484375,18782.619140625,35853.98828125,32702.353515625,50739.69921875,15862.3232421875,27140.35546875,23058.177734375,0,0
143,22124.556640625,18720.078125,35803.4375,32731.05859375,50667.45703125,15676.6669921875,27191.85546875,23177.458984375,0,0
144,22097.494140625,18730.90234375,35761.8125,32784.6796875,50656.65625,15592.623046875,27217.9375,23229.98046875,0,0
145,22120.025390625,18811.443359375,35792.0859375,32793.1875,50718.8359375,15721.990234375,27177.791015625,23131.65625,0,0
146,22163.60546875,18848.515625,35856.0546875,32752.609375,50774.79296875,15897.037109375,27131.51171875,23025.109375,0,0
147,22168.208984375,18789.412109375,35863.07421875,32709.38671875,50745.15625,15869.474609375,27144.697265625,23051.90625,0,0
148,22134.806640625,18727.78125,35816.79296875,32738.380859375,50680.2109375,15690.5673828125,27203.203125,23181.943359375,0,0
149,22103.62109375,18742.32421875,35770.20703125,32788.15625,50660.875,15593.4111328125,27220.25,23232.318359375,0,0
150,22121.599609375,18816.734375,35790.76171875,32795.5234375,50723.48828125,15724.5888671875,27182.509765625,23137.833984375,0,0
151,22168.78125,18854.619140625,35859.34375,32756.49609375,50779.30078125,15896.5126953125,27135.087890625,23026.27734375,0,0
152,22175.791015625,18796.0625,35870.625,32715.728515625,50748.73828125,15869.451171875,27147.984375,23052.16796875,0,0
153,22142.38671875,18734.458984375,35818.69921875,32745.88671875,50681.28125,15684.5830078125,27199.818359375,23180.462890625,0,0
154,22102.931640625,18744.828125,35770.20703125,32793.6171875,50662.85546875,15594.865234375,27223.708984375,23233.55859375,0,0
155,22128.037109375,18823.244140625,35805.0859375,32804.73046875,50729.44921875,15731.669921875,27187.109375,23132.515625,0,0
156,22174.791015625,18860.462890625,35867.7421875,32761.865234375,50785.07421875,15897.203125,27141.837890625,23024.87109375,0,0
157,22178.103515625,18800.333984375,35876.6796875,32721.59375,50752.3046875,15873.1953125,27151.203125,23060.681640625,0,0
158,22138.931640625,18735.197265625,35817.9609375,32744.365234375,50677.83203125,15685.25,27199.556640625,23180.34375,0,0
159,22111.896484375,18747.234375,35774.0625,32794.5234375,50665.5234375,15595.484375,27222.421875,23231.056640625,0,0
160,22131.82421875,18822.359375,35801.7421875,32800.0546875,50729.78125,15727.7607421875,27184.91796875,23140.244140625,0,0
161,22175.88671875,18858.865234375,35861.96875,32757.287109375,50784.875,15902.28125,27143.88671875,23035.599609375,0,0
162,22179.677734375,18798.375,35872.08203125,32718.13671875,50753.38671875,15874.4111328125,27152.349609375,23064.021484375,0,0
163,22144.24609375,18735.865234375,35822.03125,32745.650390625,50680.78125,15687.6826171875,27206.568359375,23191.09375,0,0
164,22107.125,18746.115234375,35773.83203125,32793.09375,50668.8359375,15597.2734375,27234.318359375,23245.48046875,0,0
165,22126.484375,18817.619140625,35795.38671875,32799.21875,50733.85546875,15730.5732421875,27192.30859375,23148.634765625,0,0
166,22171.119140625,18853.212890625,35859.92578125,32755.90234375,50785.6171875,15897.560546875,27140.80859375,23035.791015625,0,0
167,22176.93359375,18793.775390625,35869.1484375,32716.73046875,50749.42578125,15872.5283203125,27148.296875,23066.59375,0,0
168,22137.119140625,18725.255859375,35811.875,32737.927734375,50674.89453125,15684.271484375,27192.333984375,23182.75,0,0
169,22102.40625,18734.02734375,35767.1484375,32787.96875,50659.44921875,15592.3154296875,27216.9375,23235.51171875,0,0
170,22125.365234375,18812.41796875,35797.5,32795.8125,50723.82421875,15720.630859375,27180.103515625,23145.677734375,0,0
171,22170.833984375,18846.134765625,35859.51953125,32755.568359375,50777.98828125,15896.703125,27138.04296875,23042.396484375,0,0
172,22172.59375,18783.76171875,35867.05078125,32713.84375,50747.8046875,15868.3564453125,27150.134765625,23078.087890625,0,0
173,22132.162109375,18718.48046875,35808.8984375,32737.328125,50672.20703125,15677.90625,27195.98046875,23194.07421875,0,0
174,22106.21875,18731.40234375,35768.9609375,32788.42578125,50658.11328125,15589.857421875,27218.51171875,23230.29296875,0,0
175,22126.69921875,18808.556640625,35795.2109375,32800.4609375,50724.25,15721.65625,27186.77734375,23142.79296875,0,0
176,22166.77734375,18843.078125,35854.4609375,32756.59375,50781.20703125,15894.2236328125,27142.07421875,23041.796875,0,0
177,22174.384765625,18791.009765625,35868.07421875,32717.0625,50747.20703125,15868.7841796875,27148.990234375,23060.01171875,0,0
178,22138.478515625,18723.990234375,35815.57421875,32743.8125,50674.3671875,15677.5,27193.525390625,23183.087890625,0,0
179,22104.21484375,18733.07421875,35767.17578125,32790.92578125,50657.34375,15586.568359375,27217.484375,23236.91796875,0,0
180,22122.52734375,18804.958984375,35790.23046875,32794.5234375,50716,15716.7685546875,27175.35546875,23139.3125,0,0
181,22166.109375,18837.16796875,35852.8125,32752.349609375,50773.08203125,15891.2919921875,27131.01171875,23035.21875,0,0
182,22169.08984375,18779.421875,35862.9921875,32712.224609375,50744.25,15865.828125,27146.462890625,23068.333984375,0,0
183,22134.880859375,18718.125,35811.48046875,32736.375,50672.60546875,15679.7421875,27191.59375,23180.69921875,0,0
184,22095.494140625,18726.087890625,35763.45703125,32786.7734375,50655.25,15584.0888671875,27214.43359375,23230.53125,0,0
185,22109.224609375,18797.921875,35786.41796875,32790.14453125,50719.7421875,15712.7158203125,27171.947265625,23141.337890625,0,0
186,22156.12109375,18840.02734375,35854.03125,32748.416015625,50779.89453125,15889.9560546875,27133.91796875,23035.552734375,0,0
187,22163.55859375,18778.921875,35858.46875,32703.974609375,50746.8984375,15860.177734375,27142.505859375,23061.37109375,0,0
188,22121.66796875,18716.958984375,35806.2734375,32731.25,50676.70703125,15677.7158203125,27198.38671875,23190.478515625,0,0
189,22086.052734375,18722.416015625,35759.66796875,32775.33203125,50659.8984375,15587.140625,27218.916015625,23238.63671875,0,0
190,22110.19921875,18803.40625,35788.2734375,32787.65625,50723.41796875,15717.3173828125,27185.01171875,23145.4375,0,0
191,22154.833984375,18840.43359375,35849.3125,32749.822265625,50779.84375,15892.6015625,27139.44921875,23037.43359375,0,0
192,22156.791015625,18775.130859375,35854.9609375,32704.046875,50745.2734375,15859.390625,27144.458984375,23066.80859375,0,0
193,22124.33984375,18717.291015625,35806.82421875,32733.802734375,50677.15625,15677.4765625,27197.43359375,23186.99609375,0,0
194,22092.224609375,18727.921875,35763.6484375,32783.2734375,50661.375,15584.4951171875,27216.962890625,23232.390625,0,0
195,22110.275390625,18805.07421875,35787.01171875,32788.1796875,50725.73046875,15714.1220703125,27178.671875,23142.244140625,0,0
196,22152.734375,18835.80859375,35847.66796875,32744.71875,50777.60546875,15887.833984375,27135.27734375,23043.681640625,0,0
197,22162.130859375,18784.072265625,35861.01953125,32710.29296875,50745.34375,15864.396484375,27137.927734375,23052.66796875,0,0
198,22124.365234375,18720.962890625,35810.14453125,32736.58984375,50676.1796875,15677.5498046875,27191.40234375,23169.99609375,0,0
199,22093.037109375,18731.478515625,35765.2421875,32784.51171875,50658.46875,15585.9248046875,27216.365234375,23230.556640625,0,0
200,22114.615234375,18806.603515625,35794.26171875,32793,50722.3359375,15717.912109375,27176.525390625,23137.880859375,0,0
201,22157.837890625,18841.83984375,35852.6484375,32750.87109375,50772.95703125,15890.765625,27128.150390625,23030.712890625,0,0
202,22163.01171875,18783.072265625,35862.83203125,32708.765625,50740.91796875,15865.255859375,27136.806640625,23055.556640625,0,0
203,22127.890625,18717.88671875,35809.66796875,32736.08984375,50671.2421875,15680.1953125,27191.380859375,23188.759765625,0,0
204,22096.82421875,18728.94921875,35761.59375,32784.9609375,50654.34375,15584.255859375,27213.16796875,23234.728515625,0,0
205,22118.427734375,18803.337890625,35787.6796875,32793.07421875,50718.16796875,15714.5751953125,27172.94921875,23135.974609375,0,0
206,22156.765625,18838.791015625,35847.8046875,32746.38671875,50774.625,15886.8564453125,27128.625,23028.900390625,0,0
207,22162.55859375,18779.921875,35860.85546875,32705.66796875,50745.39453125,15861.75,27142.552734375,23059.775390625,0,0
208,22128.25,18714.787109375,35808.33203125,32732.96484375,50674.04296875,15679.9091796875,27192.046875,23178.197265625,0,0
209,22098.78125,18729.44921875,35764.19921875,32783.41796875,50659.25,15585.5908203125,27215.056640625,23233.96484375,0,0
210,22114.96875,18806.48046875,35785.3671875,32791.6171875,50715.8984375,15706.6845703125,27175.21484375,23140.71875,0,0
211,22166.46875,18845.25,35852.98828125,32749.25,50775.53125,15883.8515625,27128.29296875,23032.953125,0,0
212,22175.384765625,18790.177734375,35865.07421875,32711.578125,50744.15625,15861.107421875,27139.525390625,23060.728515625,0,0
213,22138.90625,18726.302734375,35814.7421875,32739.140625,50677.3984375,15681.3876953125,27193.80859375,23179.724609375,0,0
214,22103.240234375,18741.134765625,35767.34375,32785.13671875,50662.57421875,15588.427734375,27217.869140625,23231.009765625,0,0
215,22131.015625,18815.974609375,35798.29296875,32792.8046875,50727.32421875,15716.7685546875,27179.744140625,23139.953125,0,0
216,22176.33984375,18855.62109375,35858.61328125,32756.380859375,50784.46875,15887.9296875,27136.521484375,23034.693359375,0,0
217,22180.25,18797.13671875,35871.21875,32716.994140625,50753.6875,15864.396484375,27144.505859375,23063.947265625,0,0
218,22139.21484375,18730.572265625,35813.86328125,32743.599609375,50681.23828125,15679.7890625,27195.384765625,23183.46484375,0,0
219,22107.83984375,18740.34375,35771.4921875,32792.26171875,50668.36328125,15587.8330078125,27222.587890625,23243.35546875,0,0
220,22128.34375,18814.515625,35798.21875,32801.75,50726.5859375,15715.599609375,27177.193359375,23146.01171875,0,0
221,22176.603515625,18850.708984375,35858.70703125,32762.818359375,50783.15625,15888.40625,27131.96484375,23035.359375,0,0
222,22181.322265625,18791.796875,35869.625,32720.880859375,50748.78125,15866.9736328125,27140.166015625,23059.203125,0,0
223,22143.74609375,18723.490234375,35817.01171875,32742.8125,50675.94921875,15678.9326171875,27191.94921875,23183.349609375,0,0
224,22105.197265625,18732.16796875,35770.15625,32792.5234375,50659.63671875,15582.3720703125,27213.791015625,23234.15234375,0,0
225,22128.083984375,18810.130859375,35796.38671875,32801.34375,50723.0546875,15717.7470703125,27174.09375,23138.884765625,0,0
